Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Congo Democratic Republic,2015,5th,Alert,9.5,9.5,9.5,7.9,8.8,7.1,9,9.7,10,9.5,9.4,9.8
Congo Republic,2015,33rd,Warning,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6
Costa Rica,2015,142nd,Stable,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3
Cote dIvoire,2015,15th,Warning,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7
Croatia,2015,137th,Warning,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4
Cuba,2015,112th,Stable,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5
Cyprus,2015,114th,Warning,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2
Czech Republic,2015,154th,Stable,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6
Denmark,2015,175th,Sustainable,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4
Djibouti,2015,41st,Warning,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4
Dominican Republic,2015,104th,Warning,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9
Ecuador,2015,85th,Warning,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6
Egypt,2015,38th,Warning,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1
El Salvador,2015,102nd,Warning,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3
Equatorial Guinea,2015,54th,Warning,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5
Eritrea,2015,24th,Warning,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2
Estonia,2015,146th,Stable,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1
Ethiopia,2015,20th,Warning,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9
Fiji,2015,82nd,Warning,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2
Finland,2015,178th,Sustainable,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1
France,2015,160th,Stable,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4
Gabon,2015,104th,Warning,5,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5,5.1
Gambia,2015,51st,Warning,6,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5
Georgia,2015,70th,Warning,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3
Germany,2015,165th,Sustainable,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3
Ghana,2015,100th,Warning,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6
Greece,2015,134th,Stable,4.5,3.7,5,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9
Grenada,2015,120th,Warning,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1
Guatemala,2015,64th,Warning,7,6,7.9,6,8,6.7,6.6,7.4,6.6,7.3,5.5,5.4
Guinea,2015,10th,Alert,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1
Guinea Bissau,2015,17th,Warning,8.8,9.6,5.7,8.7,8.4,8.5,9,9.2,7.2,8.2,7.8,8.8
Guyana,2015,107th,Warning,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5
Haiti,2015,11th,Warning,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9
Honduras,2015,76th,Warning,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4
Hungary,2015,139th,Stable,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4
Iceland,2015,171st,Sustainable,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6
India,2015,69th,Warning,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3
Indonesia,2015,88th,Warning,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3
Iran,2015,44th,Warning,8,9.4,8.5,6.9,6.1,6.2,8.9,5,9.3,5.4,6.5,7
Iraq,2015,12th,Warning,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4
Ireland,2015,169th,Sustainable,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9
Israel and West Bank,2015,68th,Warning,7,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6,7.4,7.6
Italy,2015,147th,Stable,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2
Jamaica,2015,117th,Warning,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3,5.7
Japan,2015,157th,Sustainable,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6
Jordan,2015,81st,Warning,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7,8.8,6.8
Kazakhstan,2015,110th,Warning,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7
Kenya,2015,21st,Warning,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8
Kuwait,2015,128th,Stable,3.9,7.5,4.7,3,4.7,3.1,7.3,2.5,7.3,5.1,4,4.4
Kyrgyz Republic,2015,62nd,Warning,6.8,8,8.4,7,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9
Laos,2015,55th,Warning,6,8.3,6.3,5.5,6.9,7.4,9,7.7,8.1,7.1,5.6,6.6
Latvia,2015,140th,Stable,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8
Lebanon,2015,40th,Warning,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2
Lesotho,2015,66th,Warning,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8,4.8,7.7,4.9,7.8
Liberia,2015,21st,Alert,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10
Libya,2015,25th,Warning,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5
Lithuania,2015,148th,Stable,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3
Luxembourg,2015,174th,Sustainable,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6
Macedonia,2015,118th,Warning,5.4,7,7,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9
Madagascar,2015,56th,Warning,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3
Malawi,2015,44th,Warning,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1
Malaysia,2015,115th,Stable,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2
Maldives,2015,91st,Warning,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7
Mali,2015,30th,Warning,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3
Malta,2015,151st,Stable,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6
Mauritania,2015,26th,Warning,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5
Mauritius,2015,145th,Stable,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2
Mexico,2015,99th,Warning,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5
Micronesia,2015,94th,Warning,5.1,5.6,4,8.1,8.4,9,6,5.7,3.1,7.1,3.2,8.3
Moldova,2015,96th,Stable,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3
Mongolia,2015,129th,Stable,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5
Montenegro,2015,132nd,Stable,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9
Morocco,2015,89th,Warning,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6
Mozambique,2015,46th,Warning,7,6.9,5.9,7.8,8.6,7.4,7.2,9,6.1,8.7,5,7.3
Myanmar,2015,27th,Warning,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7
Namibia,2015,106th,Warning,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7,5.5,6.9
Nepal,2015,35th,Warning,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4
Netherlands,2015,166th,Sustainable,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2
New Zealand,2015,172nd,Sustainable,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1
Nicaragua,2015,72nd,Warning,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3
Niger,2015,19th,Warning,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1
Nigeria,2015,14th,Warning,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6
North Korea,2015,29th,Warning,8.6,8.5,6.3,9,8,4.2,10,8.9,9.7,7.5,4.3,8.8
Norway,2015,176th,Sustainable,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2
Oman,2015,135th,Stable,4.7,6.6,3,4.5,4.2,1.9,6.6,3.8,7.5,5,2,2.2
Pakistan,2015,13th,Warning,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3
Panama,2015,131st,Stable,5.1,2.5,5.6,3.4,7.3,4,4,5.5,4.8,5.7,3.5,3.2
Papua New Guinea,2015,57th,Warning,6.9,7.1,6.3,6.2,9,7.1,6.9,8.7,6.6,7.3,4.6,6.7
Paraguay,2015,103rd,Warning,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4
Peru,2015,98th,Warning,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4
Philippines,2015,48th,Warning,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3
Poland,2015,153rd,Stable,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7
Portugal,2015,164th,Sustainable,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5
Qatar,2015,143rd,Stable,2.5,5,4.6,2.6,5.2,3.1,6,1.8,6.2,4.3,1.8,3.2
Romania,2015,132nd,Stable,3.5,5.2,6.8,5.2,4.7,4.5,5.6,4.3,3.9,3.7,2.7,4.1
Russia,2015,65th,Warning,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9
Rwanda,2015,37th,Warning,6.2,8,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8,7.9,7.8
Samoa,2015,111th,Stable,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5,4.5,6.2,2.1,8.6
Sao Tome and Principe,2015,93rd,Warning,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9
Saudi Arabia,2015,101st,Warning,6.4,8,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8
Senegal,2015,60th,Warning,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8,7.8,6.5
Serbia,2015,92nd,Warning,6,8,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7,6.6
Seychelles,2015,124th,Stable,6.6,5.7,4.5,4.6,6,5.5,5.7,3.2,4.6,5.1,3.1,7.5
Sierra Leone,2015,31st,Warning,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8
Singapore,2015,159th,Sustainable,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7
Slovak Republic,2015,149th,Stable,2.3,3.7,5.9,5.1,4,4.2,3.7,2.9,2.7,2.8,2,3.3
Slovenia,2015,162nd,Sustainable,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2,2,2.8,1.4,2.3
Solomon Islands,2015,50th,Warning,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8
Somalia,2015,2nd,Alert,9.7,10,9.5,9.1,9,9.2,9.3,9.3,10,9.6,9.8,9.5
South Africa,2015,113th,Warning,5.3,5.6,5.5,6.3,7.4,4.9,5.3,6.4,4.3,7,5.9,3.1
South Korea,2015,156th,Stable,2.1,3.8,3.4,2,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4
South Sudan,2015,1st,Alert,10,10,10,9,8.8,6.9,10,10,10,9.8,10,10
Spain,2015,151st,Stable,3.3,6.1,5.8,5,4,2.4,3.3,2.7,1.9,2.5,1.7,2.2
Sri Lanka,2015,34th,Warning,7.9,9.1,9.3,5.9,7.6,7.8,8,5.6,8.8,6,8.2,6.4
Sudan,2015,4th,Alert,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10,9.8
Suriname,2015,109th,Warning,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3,6.2
Swaziland,2015,48th,Warning,6,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6
Sweden,2015,177th,Sustainable,2.1,1.8,1.3,2.3,1.8,1.5,1,1.6,1,2.5,2.3,1
Switzerland,2015,173rd,Sustainable,1.4,1,3.6,2,2.7,2.1,1,1.4,1.8,1.9,2.1,1.3
Syria,2015,9th,Alert,10,9.9,10,7.5,7,7.4,9.9,8.2,10,8.1,10,9.9
Tajikistan,2015,57th,Warning,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4
Tanzania,2015,63rd,Warning,5.5,5.7,5.7,6.7,7,7,6,8.7,6,8.8,6.4,7.3
Thailand,2015,71st,Warning,8.9,10,8.5,4,5.8,4.1,8,4.9,7.7,6.9,6,4.3
Timor-Leste,2015,35th,Warning,7.7,8.3,6.5,8.4,6.7,7,7.4,8.4,5.8,8.9,6.8,8.7
Togo,2015,47th,Warning,7,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8,7.1,6.5
Trinidad and Tobago,2015,126th,Stable,5.7,5.6,4.1,4.3,5.5,7.5,5,4.8,4.6,5,3,3.6
Tunisia,2015,86th,Warning,7.8,8.1,7.8,6.6,5.4,5.5,7,4.9,7,4.7,4.1,6.9
Turkey,2015,89th,Warning,7.7,7.3,9,5,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5
Turkmenistan,2015,78th,Warning,6.8,7.8,7.1,5,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6
Uganda,2015,23rd,Warning,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3
Ukraine,2015,84th,Warning,7.9,8,7,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1
United Arab Emirates,2015,144th,Stable,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9
United Kingdom,2015,161st,Sustainable,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2
United States,2015,158th,Stable,2.8,4,5,2.8,4.8,1.5,2.4,2.1,3.7,3,2.1,1.1
Uruguay,2015,155th,Sustainable,3.7,2.7,3,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9
Uzbekistan,2015,52nd,Warning,7.6,8.8,7.6,6.8,7,6.3,9.6,5.4,9.1,6.1,6,5.1
Venezuela,2015,74th,Warning,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3
Vietnam,2015,97th,Warning,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1
Yemen,2015,7th,Alert,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5
Zambia,2015,53rd,Warning,5,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6
Zimbabwe,2015,16th,Warning,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6
