Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Lesotho,2014,72nd,Warning,4.9,7,4.7,8.2,7,7.1,5.7,8.2,5.1,8,5.2,7.5,8.19,1.34,0.611,0.799,0,0.799
Liberia,2014,24th,Alert,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,7.44,5.28,0.721,0.662,0.58,0.662
Libya,2014,41st,Warning,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9,7.06,0.8,0.474,0.582,0,0.582
Lithuania,2014,149th,Stable,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3,6.62,4.12,0.835,0.828,0,0.828
Luxembourg,2014,172nd,Sustainable,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9,7.42,2.14,0.656,0.763,0,0.763
Macedonia,2014,116th,Warning,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9,7.93,1.18,0.503,0.495,0.28,0.495
Madagascar,2014,59th,Warning,6.8,7.6,4.9,7.9,8.2,5.8,7.3,8.8,5.8,8.2,4.2,7.6,4.98,0.36,0.423,0.427,0,0.427
Malawi,2014,38th,Warning,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,6.09,1.32,0.616,0.719,0,0.719
Malaysia,2014,117th,Stable,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,7.16,0.58,0.818,0.911,2.96,0.911
Maldives,2014,88th,Warning,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,8,2.32,0.882,0.846,4.66,0.846
Mali,2014,36th,Warning,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5,7.33,1.64,0.783,0.896,2.71,0.896
Malta,2014,151st,Stable,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9,8.17,1.18,0.492,0.511,0,0.511
Mauritania,2014,28th,Warning,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2,6.51,6.18,0.445,0.473,0,0.473
Mauritius,2014,145th,Stable,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9,6.28,1.54,0.7,0.787,3.63,0.787
Mexico,2014,105th,Warning,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8,7.47,0.98,0.561,0.701,0.47,0.701
Micronesia,2014,91st,Warning,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,7.68,0.78,0.312,0.438,0,0.438
Moldova,2014,89th,Stable,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4,5.8,1.46,0.781,0.853,0,0.853
Mongolia,2014,129th,Stable,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,8.06,3.6,0.377,0.513,0.27,0.513
Montenegro,2014,131st,Stable,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6,6.31,1.98,0.725,0.779,0,0.779
Morocco,2014,92nd,Warning,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2,7.44,4.46,0.649,0.758,2.37,0.758
Mozambique,2014,50th,Warning,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1,7.68,0.92,0.649,0.637,0,0.637
Myanmar,2014,24th,Warning,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,6.91,5.38,0.725,0.701,0,0.701
Namibia,2014,103rd,Warning,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2,7.16,0.62,0.738,0.733,3.04,0.733
Nepal,2014,31st,Warning,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,6.94,1.36,0.797,0.804,2.3,0.804
Netherlands,2014,166th,Sustainable,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,7.62,1.16,0.503,0.645,3.04,0.645
New Zealand,2014,173rd,Sustainable,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,7.4,1.12,0.366,0.414,0,0.414
Nicaragua,2014,73rd,Warning,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6,5.51,0.54,0.41,0.552,0,0.552
Niger,2014,19th,Warning,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,6.59,0.96,0.546,0.637,1.45,0.637
Nigeria,2014,17th,Warning,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,6.48,0.7,0.475,0.555,4.41,0.555
North Korea,2014,26th,Warning,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4,6.96,1.26,0.897,0.923,0,0.923
Norway,2014,175th,Sustainable,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5,8.16,1.12,0.917,0.913,0,0.913
Oman,2014,135th,Stable,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5,8.18,5.38,0.542,0.642,0,0.642
Pakistan,2014,10th,Warning,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,7.49,0.96,0.206,0.351,1.72,0.351
Panama,2014,131st,Stable,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5,6.14,0.66,0.475,0.525,0,0.525
Papua New Guinea,2014,57th,Warning,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,5.28,1.2,0.916,0.948,0.19,0.948
Paraguay,2014,102nd,Warning,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1,8.16,0.66,0.648,0.795,1.54,0.795
Peru,2014,97th,Warning,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4,7.68,1.32,0.395,0.548,0,0.548
Philippines,2014,52nd,Warning,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,6.62,1.8,0.808,0.783,0.04,0.783
Poland,2014,152nd,Stable,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3,7.27,2.78,0.655,0.678,0,0.678
Portugal,2014,162nd,Sustainable,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,7.29,0.04,0.691,0.785,2.58,0.785
Qatar,2014,139th,Stable,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7,7.76,1.36,0.422,0.515,0.04,0.515
Romania,2014,130th,Stable,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3,6.26,1.04,0.613,0.692,0.7,0.692
Russia,2014,85th,Warning,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3,7.29,0.54,0.671,0.737,0,0.737
Rwanda,2014,34th,Warning,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1,7.46,4.16,0.637,0.679,4.73,0.679
Samoa,2014,110th,Stable,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,6.82,3.94,0.852,0.852,0,0.852
Sao Tome and Principe,2014,87th,Warning,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6,7.74,1.32,0.756,0.841,0,0.841
Saudi Arabia,2014,96th,Warning,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3,8.09,2.78,0.698,0.855,0.23,0.855
Senegal,2014,62nd,Warning,6.5,6.6,6.6,7,7,7.1,6,7.9,6.5,8.1,7.3,6.2,7.82,1.18,0.764,0.798,0,0.798
Serbia,2014,100th,Warning,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7,7.47,1.94,0.816,0.805,0.07,0.805
Seychelles,2014,122nd,Stable,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2,7.01,3.78,0.426,0.493,0,0.493
Sierra Leone,2014,35th,Warning,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4,6.42,0.68,0.659,0.762,1.73,0.762
Singapore,2014,158th,Sustainable,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,7.38,0.56,0.677,0.735,0,0.735
Slovak Republic,2014,146th,Stable,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6,7.51,2.64,0.657,0.72,0,0.72
Slovenia,2014,163rd,Sustainable,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,7.29,1.94,0.702,0.702,0.29,0.702
Solomon Islands,2014,47th,Warning,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,7.34,6.78,0.489,0.565,0,0.565
Somalia,2014,2nd,Alert,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,6.65,1.5,0.768,0.845,0.16,0.845
South Africa,2014,115th,Warning,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2,7.43,4.98,0.355,0.491,2.55,0.491
South Korea,2014,156th,Stable,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,6.65,4.88,0.76,0.775,0,0.775
South Sudan,2014,1st,Alert,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,7.49,0.86,0.706,0.781,0,0.781
Spain,2014,150th,Stable,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9,7.31,2.66,0.374,0.431,2.59,0.431
Sri Lanka,2014,30th,Warning,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,5.09,1.38,0.814,0.924,0,0.924
Sudan,2014,5th,Alert,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,8.3,5.22,0.82,0.842,1.84,0.842
Suriname,2014,109th,Warning,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2,7.63,1.6,0.886,0.888,0,0.888
Swaziland,2014,51st,Warning,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8,8.04,0.9,0.445,0.514,0.81,0.514
Sweden,2014,177th,Sustainable,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3,6.79,2.64,0.705,0.665,0,0.665
Switzerland,2014,174th,Sustainable,1.7,1,3.5,2.2,2.4,2.4,0.9,1.7,1.7,2.4,1.8,1.6,5.54,2.18,0.297,0.421,0,0.421
Syria,2014,15th,Alert,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6,5.74,0.62,0.818,0.882,0.01,0.882
Tajikistan,2014,55th,Warning,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7,5.57,0.16,0.752,0.764,4.71,0.764
Tanzania,2014,65th,Warning,5.2,5.7,5.9,6.7,6.7,6.7,6,8.7,6.3,8.6,6.7,7.6,8.26,5.6,0.318,0.488,0,0.488
Thailand,2014,80th,Warning,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6,7.49,0.88,0.63,0.723,2.67,0.723
